,A,B,C,D,E,S
2099,4.39,2.65,4.17,8.39,5.42,1849.74
2100,4.7,14.1,5.84,4.96,8.63,3089.59
2101,2.37,19.77,5.23,16.48,7.21,4486.7
2102,3.7,13.98,4.61,14.66,8.42,878.53
2103,2.81,28.32,5.19,12.22,6.43,3822.85
2104,4.86,10.67,4.54,10.73,4.64,639.53
2105,3.13,24.32,4.05,16.44,4.99,1937.44
2106,3.3,27.06,4.29,16.47,3.89,1593.79
2107,4.88,26.5,4.86,16.19,8.37,2012.35
2108,3.45,28.08,5.95,10.17,4.23,2560.17
2109,3.23,21.43,5.48,19.62,6.63,4772.9
2110,1.82,2.26,4.16,17.05,5.95,1706.9
2111,1.35,6.17,5.12,14.65,7.1,951.3
2112,2.81,4.2,4.19,19.57,3.42,1618.76
2113,4.42,15.14,4.95,9.35,5.64,1613.63
2114,2.85,24.52,4.27,5.93,4.03,4973.66
2115,2.3,11.5,5.24,17.21,6.07,2266.66
2116,1.95,5.54,5.24,8.8,3.11,4673.17
2117,3.77,22.69,5.66,22.71,5.05,1142.12
2118,4.15,27.25,4.44,19.46,8.7,4303.42
2119,3.6,7.34,4.59,22.15,4.23,3258.3
2120,2.02,29.46,5.64,20.93,6.34,3024.89
2121,4.9,22.3,5.11,4.9,5.71,569.25
2122,2.06,25.87,4.84,4.11,5.03,3536.09
2123,4.7,6.05,4.04,9.84,2.76,2656.12
2124,1.91,18.38,4.03,3.9,7.7,3440.97
2125,4.64,3.77,5.86,1.45,6.47,3798.62
2126,2.42,7.24,5.56,3.89,8.25,1323.17
2127,4.32,29.15,5.32,8.44,8.45,3291.0
2128,2.5,8.04,4.03,21.27,6.2,2580.65
2129,2.48,28.33,4.13,21.94,5.21,525.23
2130,4.5,24.32,5.49,3.85,7.42,952.53
2131,4.99,18.28,5.41,9.43,7.34,2254.16
2132,1.31,17.26,4.5,3.72,2.72,2302.56
2133,1.67,10.54,4.34,1.49,2.06,4848.13
2134,4.48,23.18,4.98,13.27,7.53,3000.73
2135,1.34,9.43,5.85,3.06,5.75,3287.88
2136,1.39,16.57,5.89,2.84,3.78,3080.6
2137,1.29,26.95,4.53,9.98,5.11,1645.04
2138,1.8,6.02,4.92,6.73,7.49,2811.41
2139,4.08,12.5,4.8,13.7,6.07,2999.64
2140,2.42,19.12,4.98,9.14,4.94,1400.54
2141,1.25,25.88,5.18,2.32,2.47,1642.8
2142,3.57,4.5,4.67,6.39,8.72,3129.13
2143,3.24,8.5,4.4,11.38,5.72,1034.93
2144,1.6,17.42,4.55,22.05,2.98,1940.39
2145,4.02,29.97,5.93,18.98,4.71,1400.73
2146,3.57,21.32,5.34,13.22,3.16,2423.39
2147,4.52,23.07,5.98,21.88,2.49,1779.29
2148,2.63,29.56,5.0,7.85,3.46,4334.93
2149,2.59,29.82,4.29,9.34,3.68,3016.76
2150,1.05,7.7,4.48,2.66,8.69,627.49
2151,4.72,2.7,5.47,21.63,6.96,3058.28
2152,1.41,23.01,5.63,4.45,8.8,3179.14
2153,1.22,16.53,5.32,4.7,4.99,3834.1
2154,2.33,15.51,4.43,14.12,3.05,591.09
2155,2.95,6.98,5.54,22.97,6.3,3040.5
2156,4.85,18.18,5.92,3.96,7.2,681.85
2157,3.79,3.98,5.6,2.12,6.52,4714.58
2158,2.18,10.95,5.54,15.71,8.06,1629.87
2159,3.17,13.2,5.27,21.14,7.37,1124.8
2160,4.49,5.33,5.95,16.67,7.59,1071.76
2161,3.71,29.82,4.74,18.78,5.29,1529.82
2162,1.16,12.53,5.46,19.15,7.72,1951.44
2163,2.54,24.44,5.59,12.75,7.09,3544.36
2164,3.92,12.76,5.33,4.11,6.39,850.3
2165,3.8,18.61,5.19,2.36,8.41,884.08
2166,1.14,3.55,5.99,8.04,4.19,2994.39
2167,1.03,6.11,5.78,14.21,6.4,1214.37
2168,2.56,16.6,4.14,3.34,2.02,1715.39
2169,4.39,28.13,5.81,13.84,3.16,535.91
2170,4.47,22.92,5.38,1.87,7.67,972.14
2171,2.55,6.19,5.59,8.49,7.74,3218.91
2172,1.89,29.15,5.75,20.3,4.54,1444.82
2173,1.03,19.32,5.68,5.87,3.63,2283.91
2174,1.89,10.75,4.18,14.71,7.69,1474.45
2175,4.2,20.66,4.42,10.84,2.32,2277.03
2176,2.17,4.1,4.12,5.2,7.63,4965.16
2177,4.92,9.12,5.33,18.95,5.12,1970.56
2178,2.15,21.59,4.2,20.19,7.73,4271.92
2179,2.23,2.41,5.18,16.89,4.58,646.61
2180,1.67,28.55,5.56,17.31,3.33,2478.63
2181,2.96,24.59,5.9,22.77,6.4,3950.33
2182,1.38,6.09,4.24,19.03,2.53,3941.25
2183,1.26,27.69,5.52,10.89,8.23,2623.81
2184,3.58,21.64,4.88,8.47,3.06,3085.38
2185,2.32,8.92,4.82,8.15,7.04,3197.95
2186,4.07,24.35,4.72,12.69,4.71,2255.1
2187,2.77,3.36,5.3,2.68,8.99,4583.47
2188,3.49,24.59,4.02,20.59,5.27,4787.6
2189,4.79,6.85,5.48,4.41,7.84,3220.6
2190,3.46,18.41,5.83,8.31,7.86,2820.82
2191,1.36,24.34,5.31,2.67,5.84,846.08
2192,5.0,16.25,4.24,17.51,5.96,1479.17
2193,3.45,4.85,4.01,5.96,4.06,3071.08
2194,1.14,4.46,4.35,19.57,3.39,836.02
2195,4.72,5.45,5.83,8.35,4.52,2850.64
2196,2.2,25.84,5.85,6.71,7.78,4542.58
2197,1.82,6.34,4.28,3.27,5.4,4696.07
2198,1.46,5.47,5.11,8.25,4.41,2312.8
2199,4.05,9.9,5.58,21.03,3.11,2715.6
2200,3.78,10.99,4.93,18.61,6.72,4826.2
2201,3.05,4.3,5.18,3.25,6.8,2734.88
2202,1.69,21.34,4.78,21.49,8.66,3553.52
2203,1.28,20.4,5.46,12.6,8.16,3909.43
2204,1.54,2.52,5.24,8.85,3.77,3841.3
2205,3.06,21.47,4.34,3.22,6.98,4366.48
2206,1.01,3.51,4.23,13.49,4.84,2997.56
2207,2.81,17.47,4.95,9.79,8.73,545.14
2208,2.8,9.45,5.05,9.21,6.1,3968.64
2209,1.81,3.68,5.16,21.49,6.91,4479.82
2210,1.07,7.08,5.52,19.06,8.86,4714.38
2211,4.36,13.79,4.57,4.51,6.57,1792.38
2212,3.24,15.8,5.67,17.0,2.29,3962.69
2213,3.43,27.56,4.66,21.16,5.81,983.76
2214,2.19,21.8,5.21,9.89,5.12,4765.19
2215,1.18,4.57,5.95,19.38,4.47,1923.08
2216,4.79,29.5,4.82,13.13,7.23,1963.94
2217,1.05,27.58,5.58,22.34,2.78,3554.12
2218,4.95,12.95,5.11,18.97,2.16,998.05
2219,3.44,11.9,4.83,18.12,2.02,538.01
2220,3.55,8.51,5.36,9.62,4.85,4838.62
2221,3.91,10.09,5.7,17.0,3.47,3336.42
2222,3.52,19.87,4.03,4.83,2.94,2248.92
2223,2.63,4.86,4.95,14.07,5.22,4373.49
2224,3.74,14.45,4.48,9.77,5.77,4398.13
2225,4.88,10.34,5.41,17.21,5.77,1860.72
2226,2.35,27.8,5.49,12.61,2.78,3386.24
2227,4.88,16.63,5.45,22.82,6.37,4453.66
2228,3.59,27.25,4.59,8.41,8.68,1261.24
2229,4.85,27.74,4.44,1.11,6.4,1293.7
2230,3.26,12.33,4.8,2.97,7.71,3809.86
2231,2.31,12.94,5.42,19.01,4.22,850.97
2232,4.25,7.01,4.8,10.72,6.64,1059.45
2233,2.95,16.94,4.25,2.32,2.46,643.72
2234,4.2,12.19,5.08,6.97,3.64,1905.32
2235,4.49,26.69,4.21,16.93,2.28,2808.74
2236,1.09,21.84,5.28,14.13,3.63,2823.74
2237,2.39,15.46,5.51,7.87,2.34,1297.72
2238,2.56,6.22,4.55,16.52,6.49,3336.23
2239,2.65,18.86,5.82,1.36,5.76,3246.72
2240,2.46,15.04,4.79,11.24,6.07,3161.34
2241,3.27,26.66,4.48,8.19,4.69,4044.99
2242,3.86,16.27,4.72,16.44,6.0,2101.0
2243,3.24,25.14,4.98,16.97,6.33,1963.64
2244,2.59,26.13,4.57,16.79,5.22,2422.75
2245,2.58,26.32,4.3,6.83,6.56,2754.61
2246,4.66,8.54,4.71,11.86,6.23,3491.4
2247,4.97,8.42,4.9,2.47,7.84,3256.43
2248,3.69,28.33,5.05,11.24,3.4,1506.54
2249,3.4,17.19,5.14,4.48,5.5,2120.2
2250,4.56,24.09,4.94,2.96,7.82,1094.89
2251,2.06,21.72,5.49,15.88,5.82,3957.82
2252,1.46,5.55,4.42,13.21,4.23,1522.56
2253,2.83,21.24,4.3,19.91,6.0,755.65
2254,4.59,17.34,5.27,13.48,6.7,1436.01
2255,4.59,16.78,4.48,2.6,4.56,3513.9
2256,3.73,16.37,5.54,20.39,3.66,2147.29
2257,3.72,17.22,5.49,1.58,5.11,3901.67
2258,2.78,16.01,4.96,3.87,4.39,1073.78
2259,1.05,15.79,4.92,16.4,2.22,2056.16
2260,3.45,29.12,4.54,20.57,7.71,4286.86
2261,4.06,25.82,4.33,3.01,6.9,1341.47
2262,3.99,12.36,5.54,12.08,2.98,2295.57
2263,1.43,24.1,4.84,6.59,4.03,1641.35
2264,4.95,10.25,4.47,20.18,6.85,4017.34
2265,2.77,6.24,5.42,20.8,7.59,2678.85
2266,3.87,15.22,5.23,21.5,6.25,4581.95
2267,1.74,28.17,5.2,7.84,2.65,4829.24
2268,1.74,23.11,5.49,13.03,2.05,2119.53
2269,3.07,23.06,4.9,20.21,4.54,3641.77
2270,2.86,24.83,4.15,22.57,6.95,4602.2
2271,1.63,9.87,4.57,3.14,3.62,2013.0
2272,1.16,24.75,5.73,8.35,3.26,1699.34
2273,3.55,13.17,5.76,17.47,3.21,502.99
2274,4.73,16.69,5.97,4.07,8.18,3403.99
2275,4.97,4.44,4.98,19.55,2.21,2555.51
2276,1.96,12.48,5.79,17.87,6.7,4591.31
2277,3.12,4.56,4.54,18.03,2.84,670.49
2278,4.07,29.25,5.67,23.0,2.41,2657.3
2279,2.04,5.37,5.51,16.98,7.05,4376.1
2280,4.27,26.73,5.29,15.83,2.86,1761.5
2281,2.77,24.67,5.67,11.17,5.85,1253.53
2282,4.28,16.51,4.68,21.49,8.57,4870.78
2283,3.28,6.57,4.21,21.92,4.95,1505.77
2284,2.86,7.72,4.13,9.42,8.7,3662.69
2285,4.61,25.53,5.7,17.86,4.8,4070.96
2286,2.33,19.1,4.6,2.67,6.96,1153.6
2287,3.67,13.08,4.29,3.41,3.56,3901.39
2288,4.67,25.77,5.48,3.86,2.19,3261.11
2289,2.75,25.71,5.46,6.85,4.72,4177.0
2290,3.62,2.97,4.96,22.05,5.73,1569.69
2291,1.16,22.07,5.52,8.83,3.37,3207.45
2292,2.7,5.96,5.32,11.41,5.44,3537.41
2293,1.56,14.46,5.88,8.44,7.29,2006.84
2294,2.98,20.45,5.34,9.55,5.7,3182.28
2295,1.28,23.58,5.66,12.27,8.05,4997.05
2296,2.57,4.94,5.64,10.56,6.37,2310.95
2297,2.27,24.17,4.6,18.89,6.82,2717.73
2298,3.16,7.54,4.67,10.14,4.72,2898.67
2299,1.13,22.49,5.16,14.73,6.69,834.99
2300,1.93,28.99,4.34,10.17,8.11,2533.25
2301,2.8,29.46,4.65,12.04,4.7,3263.64
2302,4.96,7.81,4.46,2.07,8.15,4776.3
2303,2.09,16.93,4.64,19.58,8.67,4856.94
2304,3.87,7.54,4.27,15.09,5.64,4978.53
2305,4.35,23.49,4.69,22.21,3.81,1511.61
2306,4.3,8.94,4.98,10.76,8.28,2302.04
2307,1.18,24.26,5.88,9.02,7.18,4922.1
2308,1.19,25.24,5.58,3.34,3.08,2061.02
2309,2.51,2.58,4.03,11.68,7.0,528.4
2310,2.29,25.69,4.44,4.29,2.36,3686.23
2311,3.5,25.85,4.05,5.62,6.78,4574.99
2312,3.43,18.81,5.58,8.69,4.93,500.08
2313,4.24,2.57,4.3,13.03,8.49,3351.69
2314,4.38,26.47,5.74,1.92,6.22,2037.84
2315,4.22,4.58,5.8,12.47,3.61,1739.86
2316,2.18,8.39,5.13,13.6,5.2,4672.07
2317,2.95,27.61,4.35,15.31,8.89,1212.12
2318,1.52,15.28,4.86,5.65,5.59,3406.96
2319,1.24,14.59,5.54,12.04,8.48,3011.08
2320,2.61,18.78,4.63,7.34,6.32,2799.99
2321,1.79,5.72,5.74,9.58,2.68,4724.79
2322,4.97,22.8,5.32,12.57,7.18,814.44
2323,2.66,18.56,4.96,21.26,3.02,1462.25
2324,2.24,4.76,4.52,8.19,3.06,4644.53
2325,2.31,26.87,5.77,8.7,7.9,3189.84
2326,4.79,9.08,4.05,3.97,8.45,4623.99
2327,3.34,12.8,4.09,20.79,5.9,714.86
2328,3.83,4.47,5.16,14.39,2.8,2199.74
2329,4.68,28.48,4.21,13.97,8.98,3440.35
2330,4.37,21.81,4.64,7.64,2.41,1312.14
2331,2.98,9.12,5.64,5.97,6.37,2120.48
2332,3.12,27.05,4.48,21.39,3.34,2244.13
2333,2.12,18.06,4.72,20.23,4.35,3694.46
2334,3.19,9.98,4.63,22.21,3.77,1189.87
2335,4.34,15.32,4.68,14.8,5.78,3141.03
2336,1.92,18.8,4.76,6.85,7.87,4135.27
2337,3.96,10.75,5.03,20.68,8.51,2575.71
2338,2.45,8.09,5.56,17.04,2.05,3829.18
2339,4.37,6.22,5.14,9.06,7.12,1794.69
2340,2.42,7.77,4.96,9.77,2.46,1270.71
2341,2.41,8.82,5.33,10.41,4.81,4595.97
2342,2.72,3.59,4.7,13.39,8.21,2548.47
2343,1.38,29.52,5.82,3.1,8.25,2285.23
2344,3.64,13.58,5.34,6.06,7.65,3365.68
2345,1.31,7.36,4.32,8.8,6.29,3857.59
2346,3.2,9.94,4.65,20.45,6.31,2169.41
2347,4.93,20.82,4.8,16.3,4.25,3736.65
2348,4.81,22.64,4.45,14.82,6.48,1592.83
2349,2.14,16.34,5.23,9.52,3.2,1255.87
2350,2.28,4.48,4.1,14.89,6.69,3923.54
2351,2.02,26.16,4.48,11.62,3.96,1896.84
2352,1.86,13.76,5.13,10.96,2.04,4800.71
2353,2.4,6.35,4.82,22.0,7.68,3047.85
2354,1.82,19.49,5.97,7.17,8.69,4686.38
2355,3.98,24.58,4.08,12.48,2.58,861.0
2356,2.13,24.55,4.29,10.23,2.92,4730.24
2357,3.58,18.78,4.94,20.17,4.06,3864.96
2358,2.86,18.31,4.89,10.94,3.41,2733.36
2359,1.83,12.12,4.25,15.4,8.58,3315.21
2360,3.77,18.65,4.44,3.6,2.62,4324.53
2361,4.73,26.71,5.55,1.13,3.38,2919.87
2362,3.91,16.01,5.54,14.15,3.78,1627.1
2363,3.37,13.05,4.4,17.24,7.5,3755.07
2364,4.33,29.33,4.79,11.53,3.03,3416.98
2365,1.68,13.78,4.75,15.24,3.61,4212.79
2366,4.79,17.19,4.48,21.71,5.24,2258.14
2367,3.57,5.34,5.66,10.41,3.08,1819.23
2368,2.08,16.55,5.25,10.63,7.49,4607.07
2369,2.63,2.23,5.67,15.2,5.97,4198.89
2370,3.11,14.4,4.24,22.0,2.27,3625.59
2371,1.19,10.63,4.08,17.38,5.92,1985.16
2372,4.69,26.06,5.36,4.85,8.93,516.4
2373,3.15,29.09,4.05,4.41,5.99,2402.05
2374,2.75,2.04,4.42,6.91,2.43,2137.92
2375,1.08,28.04,5.6,3.19,4.26,3451.79
2376,4.62,12.23,5.82,22.28,3.75,1999.62
2377,1.19,12.4,5.52,16.11,4.15,754.44
2378,1.99,14.36,4.6,20.05,2.04,3886.51
2379,4.19,22.43,5.83,3.77,3.5,3033.9
2380,4.96,17.12,4.99,22.82,7.97,1624.12
2381,2.25,18.49,5.37,2.42,2.64,1909.47
2382,4.02,28.84,4.77,5.61,7.17,1701.32
2383,4.09,7.62,4.31,8.4,3.23,667.65
2384,1.58,22.19,4.52,1.06,4.12,844.64
2385,1.89,11.84,5.56,10.42,2.42,636.54
2386,2.05,4.37,4.85,9.32,2.73,707.31
2387,3.67,14.82,5.61,21.36,6.6,2288.07
2388,2.63,23.0,5.2,5.74,2.88,4813.64
2389,3.6,20.99,4.88,9.94,3.42,2325.99
2390,1.66,17.71,4.6,10.58,6.88,2804.87
2391,3.06,24.14,4.85,21.3,2.25,1042.03
2392,4.73,13.09,4.21,10.95,2.77,3993.54
2393,1.62,28.52,4.61,3.75,6.08,1115.62
2394,2.07,12.92,5.54,4.31,6.49,2833.1
2395,1.12,14.44,4.75,1.17,3.34,783.89
2396,4.08,11.24,4.64,20.28,2.3,4200.12
2397,4.33,13.74,4.5,17.67,6.54,2317.13
2398,3.53,20.25,4.95,10.14,8.09,2698.59
2399,3.2,23.17,4.19,5.6,5.62,776.99
2400,1.98,24.34,5.28,20.11,8.34,1404.67
2401,2.81,22.28,5.78,5.75,5.68,3199.52
2402,2.72,21.44,5.63,18.65,6.38,1352.01
2403,3.38,18.8,5.42,18.66,4.89,4568.1
2404,3.68,9.65,5.47,2.88,7.2,2455.94
2405,3.54,10.03,5.43,20.37,2.76,1890.4
2406,4.39,15.77,5.87,21.76,6.01,1071.31
2407,3.0,8.78,4.91,22.09,5.15,2351.83
2408,4.44,6.04,4.05,19.76,2.08,1883.94
2409,1.65,14.71,5.72,7.46,6.92,1102.69
2410,3.58,9.13,4.84,17.97,2.88,3902.6
2411,4.22,16.92,4.81,3.59,7.45,3809.26
2412,3.74,21.28,5.57,2.26,4.77,2802.92
2413,3.36,2.41,4.7,15.23,8.41,4660.86
2414,2.44,15.0,4.9,7.35,8.08,4939.2
2415,1.13,18.78,4.14,13.84,5.46,1116.92
2416,3.0,11.24,4.7,18.39,6.86,2486.78
2417,3.33,24.67,4.72,19.24,3.69,1353.13
2418,3.54,17.96,5.15,5.88,8.27,4757.84
2419,4.38,23.05,4.15,10.85,5.93,2795.69
2420,4.1,18.2,4.94,2.04,3.28,3507.62
2421,2.23,7.11,4.33,20.93,6.14,1802.16
2422,4.56,24.57,5.35,20.57,4.27,4598.56
2423,4.37,22.71,4.03,20.63,8.32,3492.6
2424,3.5,16.62,4.55,21.11,4.15,1338.5
2425,1.42,19.99,4.31,4.59,6.04,4469.09
2426,2.24,23.82,4.57,15.14,5.17,1652.43
2427,2.85,10.35,4.01,6.26,4.09,3945.7
2428,4.13,15.01,4.38,9.92,5.52,2293.19
2429,2.65,15.3,4.38,19.36,6.09,2550.01
2430,3.0,29.04,4.74,9.55,5.26,2639.86
2431,1.15,27.38,5.44,6.3,6.97,1146.12
2432,3.01,3.93,5.61,4.36,5.0,1819.69
2433,4.14,20.52,4.55,7.09,5.23,1026.8
2434,1.26,3.35,5.43,20.69,3.71,1370.04
2435,1.17,13.24,4.68,10.68,4.89,1522.05
2436,4.67,16.0,5.53,7.73,2.66,3688.09
2437,4.81,21.42,4.45,3.68,5.1,4515.73
2438,1.88,7.26,5.09,15.08,6.94,1624.54
2439,4.03,4.8,5.15,13.29,3.69,1021.39
2440,4.52,3.55,4.51,19.04,2.88,552.11
2441,2.91,5.9,4.59,22.73,7.07,4802.29
2442,2.11,18.14,4.27,13.71,6.98,1033.91
2443,2.06,27.44,5.38,19.49,5.11,2361.62
2444,3.49,12.56,5.91,9.44,3.36,652.42
2445,1.19,13.83,4.64,18.67,2.66,2478.61
2446,2.33,12.73,5.97,11.27,5.56,2116.95
2447,1.71,27.14,5.02,2.04,3.81,3457.57
2448,4.06,13.73,4.5,14.39,7.4,2958.63
2449,1.1,15.14,5.08,4.86,2.9,4467.48
2450,3.58,13.03,4.81,12.74,3.22,3810.03
2451,1.44,5.31,4.1,21.52,2.51,733.58
2452,3.96,23.18,5.3,22.27,2.61,4636.98
2453,3.77,16.53,4.2,4.1,5.25,4501.13
2454,1.05,26.82,4.53,17.64,8.73,4188.48
2455,4.35,16.53,4.06,20.03,6.58,666.22
2456,2.06,22.6,5.72,13.04,2.1,4965.22
2457,1.52,21.38,4.64,1.72,5.44,1696.8
2458,1.29,12.99,5.51,14.49,5.95,3087.85
2459,1.05,28.85,4.3,10.59,8.86,4076.45
2460,3.35,6.99,5.72,6.91,6.15,3544.64
2461,1.53,23.97,4.79,11.59,8.32,1939.69
2462,4.27,25.79,5.04,13.6,3.32,4654.56
2463,3.24,15.38,5.0,12.78,3.73,4629.34
2464,3.95,8.89,4.63,3.4,2.86,3688.12
2465,4.39,13.51,4.68,10.63,8.11,2383.24
2466,1.35,22.48,5.3,15.19,6.08,904.68
2467,2.84,16.5,4.96,17.41,6.61,1737.32
2468,2.72,16.4,4.66,1.8,7.98,3498.12
2469,1.08,23.87,5.64,2.93,8.03,3697.45
2470,1.53,13.09,4.96,12.37,6.09,2970.17
2471,1.34,16.04,5.0,7.16,7.31,4831.99
2472,4.06,8.88,4.64,21.03,8.73,1404.8
2473,1.2,27.01,4.71,16.56,2.83,666.71
2474,1.63,7.5,5.16,1.42,2.86,4609.23
2475,1.79,11.67,5.61,1.8,4.35,1858.42
2476,3.79,26.63,4.69,13.09,3.8,4829.6
2477,1.41,11.77,5.7,14.38,8.51,3729.0
2478,1.07,11.59,5.66,11.72,3.1,4363.4
2479,1.93,12.59,5.6,19.79,6.52,2400.26
2480,4.85,26.31,5.46,22.03,2.02,4032.14
2481,2.71,11.3,4.78,5.41,2.81,3180.58
2482,4.3,16.96,4.3,2.72,7.63,531.12
2483,4.36,3.57,5.22,19.58,8.84,1200.91
2484,2.28,24.88,4.54,5.19,5.85,4392.61
2485,3.91,6.75,4.47,14.36,7.74,2429.65
2486,4.41,20.48,5.01,12.79,8.19,747.63
2487,1.37,16.35,4.8,9.78,3.01,4223.43
2488,2.47,13.13,5.82,3.08,7.09,3398.18
2489,2.52,27.11,4.93,18.81,7.67,1256.24
2490,4.84,28.65,5.44,20.04,4.91,4806.24
2491,1.64,23.41,5.56,4.93,6.59,2198.68
2492,2.4,10.0,4.28,13.34,8.43,2518.85
2493,3.36,27.12,5.79,12.44,6.91,1213.07
2494,4.41,2.91,4.85,6.93,8.4,812.45
2495,1.29,22.7,5.63,3.4,2.49,4474.4
2496,2.36,20.39,4.9,14.71,2.03,2906.43
2497,2.77,9.43,5.58,1.6,2.8,3558.17
2498,3.83,3.11,4.04,10.45,2.23,4441.79
2499,2.14,16.0,4.15,8.94,4.38,2119.21
2500,4.91,12.42,4.15,20.77,7.56,4010.35
2501,4.09,29.28,4.18,4.13,3.88,841.77
2502,1.38,26.59,4.32,1.01,6.07,4376.58
2503,2.57,28.26,4.42,5.02,5.26,2491.03
2504,2.71,24.22,5.25,4.4,3.01,4508.73
2505,4.84,3.01,5.34,15.37,4.59,1819.93
2506,4.62,24.63,5.18,7.81,3.46,4017.74
2507,4.48,5.46,4.24,15.65,4.33,4394.8
2508,1.57,19.27,4.83,9.66,8.65,4789.9
2509,2.83,7.68,4.25,13.55,7.9,3548.22
2510,4.58,7.94,5.42,9.77,5.18,1811.93
2511,3.26,2.26,5.46,10.23,2.5,2720.78
2512,1.66,11.71,5.56,21.13,6.52,4317.31
2513,4.63,24.81,5.33,9.06,6.59,1945.49
2514,2.18,28.35,4.59,22.93,3.08,4789.08
2515,2.71,19.88,4.82,11.62,6.44,4194.35
2516,3.5,24.74,5.24,19.69,7.35,4308.15
2517,1.53,10.79,4.79,19.79,5.87,3065.72
2518,3.91,21.67,5.76,8.61,3.38,3907.38
2519,1.16,8.39,4.74,19.3,2.81,1754.59
2520,3.32,6.37,5.91,11.52,5.53,4341.81
2521,2.17,25.43,5.09,4.65,8.85,4392.53
2522,3.57,4.38,4.3,16.16,7.06,1587.63
2523,4.77,23.53,5.6,8.52,2.55,1963.77
2524,1.38,26.81,4.39,12.11,7.18,1777.12
2525,2.45,8.49,4.55,15.97,2.0,3642.0
2526,1.47,25.19,5.49,9.58,3.3,1623.93
2527,3.1,25.78,5.69,1.18,7.58,4682.61
2528,2.19,8.87,5.02,15.44,8.41,3294.4
2529,3.33,19.22,4.25,5.06,5.69,2128.57
2530,3.34,7.12,4.36,5.27,6.13,1653.85
2531,1.71,22.82,5.39,5.64,8.25,3462.69
2532,1.79,25.18,5.33,12.33,2.63,4643.96
2533,1.41,25.96,5.76,7.43,6.12,587.76
2534,3.34,27.91,4.7,2.65,4.95,2940.0
2535,2.22,9.86,5.07,16.11,3.41,3977.5
2536,1.65,29.32,4.32,13.02,7.23,3782.54
2537,4.46,18.35,4.19,20.18,4.38,4929.71
2538,1.48,10.94,4.04,9.4,4.86,831.97
2539,1.59,8.79,4.58,1.78,7.97,3116.81
2540,3.13,18.41,4.77,11.77,8.0,2997.56
2541,4.51,16.39,5.01,14.16,7.35,2330.01
2542,1.54,2.37,5.77,21.64,7.08,647.16
2543,1.97,11.94,5.95,5.6,5.78,3133.79
2544,1.59,29.8,4.93,3.23,3.13,4299.58
2545,2.1,16.92,4.46,4.61,2.8,1531.41
2546,4.97,17.53,4.8,16.76,8.76,4679.61
2547,2.41,8.27,5.31,14.38,6.87,3301.65
2548,1.8,27.03,4.91,8.85,4.89,4792.35
2549,2.17,11.05,5.69,15.06,5.42,633.14
2550,2.68,2.2,4.07,17.72,5.36,1582.5
2551,2.56,8.69,4.8,1.86,2.73,2020.62
2552,1.61,12.18,4.01,7.75,6.08,1303.48
2553,4.37,27.75,4.5,15.9,6.02,4422.69
2554,3.2,8.25,5.98,13.89,4.64,3157.44
2555,1.35,24.84,4.04,1.1,8.79,3668.09
2556,2.91,8.3,5.59,21.07,5.59,2792.45
2557,4.81,8.13,5.25,4.33,6.14,1876.13
2558,2.41,13.95,5.63,1.73,6.49,3613.29
2559,2.79,2.83,4.45,13.05,7.35,3719.41
2560,4.51,9.18,4.3,14.11,8.42,1774.56
2561,2.74,15.43,4.6,16.41,6.96,4786.16
2562,3.71,28.93,4.37,9.05,2.39,3430.14
2563,2.64,29.8,4.73,4.88,4.63,1035.2
2564,4.07,4.4,5.41,2.25,2.02,1771.86
2565,3.31,29.73,4.45,2.34,6.84,2613.81
2566,1.55,5.42,5.06,1.81,6.98,1251.37
2567,1.19,25.79,5.3,1.16,8.28,1007.05
2568,4.47,6.72,4.51,17.57,5.64,2320.83
2569,3.69,13.45,4.48,9.47,3.62,529.23
2570,4.07,14.67,5.84,10.09,8.54,3770.24
2571,3.06,10.49,5.03,22.19,7.69,2059.25
2572,4.15,16.14,4.16,12.94,3.4,2408.18
2573,3.79,8.1,4.23,15.95,3.94,1442.43
2574,2.41,5.87,5.19,10.81,4.58,4522.95
2575,3.09,12.35,4.64,12.96,5.01,1259.89
2576,1.38,9.22,4.53,9.24,4.58,886.46
2577,4.24,27.59,4.86,9.61,3.95,2906.91
2578,1.76,14.12,4.91,4.35,2.26,2351.17
2579,4.84,3.28,5.13,5.64,3.98,3375.59
2580,2.23,7.79,5.23,1.22,8.09,4171.64
2581,3.48,21.22,5.22,5.84,2.0,3511.29
2582,3.66,14.29,4.95,17.6,3.92,2638.87
2583,3.14,12.8,5.73,8.75,6.33,917.18
2584,1.58,4.86,5.41,16.27,6.29,703.23
2585,1.18,7.19,5.55,1.69,8.12,3641.06
2586,1.01,15.85,5.1,18.89,4.5,4295.17
2587,1.23,20.7,5.45,22.8,7.06,4495.01
2588,4.27,22.34,5.55,2.91,2.92,1054.46
2589,4.3,16.8,5.1,14.52,4.14,3771.2
2590,1.12,10.39,5.68,22.26,7.69,4175.99
2591,4.83,22.17,5.1,16.55,5.82,1562.37
2592,4.59,14.69,5.82,3.29,8.53,2016.21
2593,2.25,28.5,5.84,8.47,5.5,1944.71
2594,2.01,21.44,4.71,2.19,7.41,2750.83
2595,1.01,2.09,5.37,8.28,2.38,1129.28
2596,4.99,14.96,5.1,6.53,6.07,1256.67
2597,2.92,9.02,4.11,17.23,4.91,1455.75
2598,1.66,6.08,5.44,7.29,4.1,2968.95
2599,1.32,4.51,4.82,16.84,7.16,534.27
